N,L,R0,M,T,Util,Idle,Collisions
5,20,8,6,50000,88.01,10.84,575
6,20,8,6,50000,88.322,10.432,623
7,20,8,6,50000,88.25,10.348,701
8,20,8,6,50000,88.0,10.43,785
9,20,8,6,50000,88.716,9.66,812
10,20,8,6,50000,88.158,10.008000000000001,917
11,20,8,6,50000,87.822,10.208,985
12,20,8,6,50000,88.29599999999999,9.736,984
13,20,8,6,50000,88.44,9.498,1031
14,20,8,6,50000,87.972,9.768,1130
15,20,8,6,50000,88.182,9.514,1152
16,20,8,6,50000,87.866,9.687999999999999,1223
17,20,8,6,50000,87.92999999999999,9.565999999999999,1252
18,20,8,6,50000,87.572,9.732000000000001,1348
19,20,8,6,50000,87.412,9.828000000000001,1380
20,20,8,6,50000,87.792,9.522,1343
21,20,8,6,50000,87.42999999999999,9.664,1453
22,20,8,6,50000,87.6,9.434,1483
23,20,8,6,50000,87.032,9.796000000000001,1586
24,20,8,6,50000,87.27000000000001,9.62,1555
25,20,8,6,50000,86.926,9.786,1644
26,20,8,6,50000,87.034,9.638,1664
27,20,8,6,50000,87.176,9.51,1657
28,20,8,6,50000,86.514,9.902,1792
29,20,8,6,50000,86.92,9.569999999999999,1755
30,20,8,6,50000,87.122,9.34,1769
31,20,8,6,50000,86.39,9.815999999999999,1897
32,20,8,6,50000,86.036,10.038,1963
33,20,8,6,50000,86.342,9.693999999999999,1982
34,20,8,6,50000,86.49,9.582,1964
35,20,8,6,50000,86.194,9.766,2020
36,20,8,6,50000,86.026,9.792,2091
37,20,8,6,50000,85.776,10.004,2110
38,20,8,6,50000,85.624,9.978,2199
39,20,8,6,50000,85.566,10.006,2214
40,20,8,6,50000,85.36,10.059999999999999,2290
41,20,8,6,50000,85.24000000000001,10.113999999999999,2323
42,20,8,6,50000,85.056,10.23,2357
43,20,8,6,50000,85.436,9.922,2321
44,20,8,6,50000,84.946,10.196,2429
45,20,8,6,50000,84.772,10.258000000000001,2485
46,20,8,6,50000,84.24199999999999,10.516,2621
47,20,8,6,50000,84.712,10.228,2530
48,20,8,6,50000,84.128,10.516,2678
49,20,8,6,50000,84.33,10.358,2656
50,20,8,6,50000,84.14399999999999,10.453999999999999,2701
51,20,8,6,50000,83.872,10.584,2772
52,20,8,6,50000,84.31,10.296,2697
53,20,8,6,50000,83.968,10.432,2800
54,20,8,6,50000,83.2,10.906,2947
55,20,8,6,50000,83.488,10.662,2925
56,20,8,6,50000,83.526,10.572,2951
57,20,8,6,50000,83.49,10.581999999999999,2964
58,20,8,6,50000,83.6,10.498000000000001,2951
59,20,8,6,50000,83.06400000000001,10.76,3088
60,20,8,6,50000,82.72,10.904,3188
61,20,8,6,50000,82.16799999999999,11.196,3318
62,20,8,6,50000,82.968,10.74,3146
63,20,8,6,50000,82.662,10.864,3237
64,20,8,6,50000,82.568,10.874,3279
65,20,8,6,50000,82.53399999999999,10.857999999999999,3304
66,20,8,6,50000,82.04,11.156,3402
67,20,8,6,50000,81.93599999999999,11.192,3436
68,20,8,6,50000,81.548,11.39,3531
69,20,8,6,50000,81.646,11.268,3543
70,20,8,6,50000,81.392,11.411999999999999,3598
71,20,8,6,50000,81.304,11.392,3652
72,20,8,6,50000,81.47999999999999,11.312,3604
73,20,8,6,50000,81.006,11.558,3718
74,20,8,6,50000,80.41,11.826,3882
75,20,8,6,50000,81.39800000000001,11.256,3673
76,20,8,6,50000,80.96,11.476,3782
77,20,8,6,50000,80.07600000000001,11.938,3993
78,20,8,6,50000,80.512,11.681999999999999,3903
79,20,8,6,50000,80.35799999999999,11.741999999999999,3950
80,20,8,6,50000,79.416,12.234,4175
81,20,8,6,50000,80.136,11.84,4012
82,20,8,6,50000,79.88,11.894,4113
83,20,8,6,50000,79.252,12.24,4254
84,20,8,6,50000,79.554,12.042,4202
85,20,8,6,50000,79.00399999999999,12.33,4333
86,20,8,6,50000,78.84,12.316,4422
87,20,8,6,50000,79.296,12.102,4301
88,20,8,6,50000,79.06,12.252,4344
89,20,8,6,50000,78.494,12.518,4494
90,20,8,6,50000,78.73,12.396,4437
91,20,8,6,50000,78.658,12.394,4474
92,20,8,6,50000,78.36,12.49,4575
93,20,8,6,50000,77.678,12.831999999999999,4745
94,20,8,6,50000,77.828,12.767999999999999,4702
95,20,8,6,50000,78.278,12.468,4627
96,20,8,6,50000,78.28,12.43,4645
97,20,8,6,50000,77.48,12.838,4841
98,20,8,6,50000,77.03999999999999,13.084000000000001,4938
99,20,8,6,50000,77.28,12.956000000000001,4882
100,20,8,6,50000,77.452,12.78,4884
101,20,8,6,50000,76.876,13.053999999999998,5035
102,20,8,6,50000,76.728,13.197999999999999,5037
103,20,8,6,50000,76.48,13.254,5133
104,20,8,6,50000,76.32,13.303999999999998,5188
105,20,8,6,50000,76.69399999999999,13.138,5084
106,20,8,6,50000,76.544,13.170000000000002,5143
107,20,8,6,50000,76.306,13.248,5223
108,20,8,6,50000,75.846,13.494,5330
109,20,8,6,50000,75.5,13.636000000000001,5432
110,20,8,6,50000,76.12,13.331999999999999,5274
111,20,8,6,50000,76.08,13.258000000000001,5331
112,20,8,6,50000,76.28,13.186,5267
113,20,8,6,50000,75.078,13.808000000000002,5557
114,20,8,6,50000,74.946,13.883999999999999,5585
115,20,8,6,50000,75.472,13.564000000000002,5482
