N,L,R0,M,T,Util,Idle,Collisions
5,20,16,6,50000,84.902,14.363999999999999,367
6,20,16,6,50000,85.60799999999999,13.522,435
7,20,16,6,50000,86.456,12.612000000000002,466
8,20,16,6,50000,86.198,12.740000000000002,531
9,20,16,6,50000,86.278,12.534,594
10,20,16,6,50000,86.436,12.312,626
11,20,16,6,50000,86.746,11.936,659
12,20,16,6,50000,86.898,11.708,697
13,20,16,6,50000,86.7,11.798,751
14,20,16,6,50000,87.22800000000001,11.25,761
15,20,16,6,50000,87.362,11.086,776
16,20,16,6,50000,87.066,11.283999999999999,825
17,20,16,6,50000,87.102,11.186,856
18,20,16,6,50000,87.324,10.911999999999999,882
19,20,16,6,50000,87.264,10.868,934
20,20,16,6,50000,87.136,10.928,968
21,20,16,6,50000,87.098,10.906,998
22,20,16,6,50000,86.75399999999999,11.152,1047
23,20,16,6,50000,87.322,10.628,1025
24,20,16,6,50000,86.92,10.878,1101
25,20,16,6,50000,87.264,10.5,1118
26,20,16,6,50000,87.382,10.338,1140
27,20,16,6,50000,86.74,10.91,1175
28,20,16,6,50000,87.122,10.508000000000001,1185
29,20,16,6,50000,87.018,10.532,1225
30,20,16,6,50000,86.922,10.606,1236
31,20,16,6,50000,86.94800000000001,10.448,1302
32,20,16,6,50000,86.678,10.686,1318
33,20,16,6,50000,86.694,10.622,1342
34,20,16,6,50000,86.908,10.432,1330
35,20,16,6,50000,86.712,10.536,1376
36,20,16,6,50000,86.444,10.725999999999999,1415
37,20,16,6,50000,87.036,10.24,1362
38,20,16,6,50000,86.35199999999999,10.706,1471
39,20,16,6,50000,87.208,9.978,1407
40,20,16,6,50000,86.584,10.402000000000001,1507
41,20,16,6,50000,86.528,10.427999999999999,1522
42,20,16,6,50000,86.158,10.718,1562
43,20,16,6,50000,86.468,10.398,1567
44,20,16,6,50000,85.98599999999999,10.738,1638
45,20,16,6,50000,85.76,10.847999999999999,1696
46,20,16,6,50000,86.178,10.548,1637
47,20,16,6,50000,86.11999999999999,10.496,1692
48,20,16,6,50000,86.06200000000001,10.534,1702
49,20,16,6,50000,85.59400000000001,10.793999999999999,1806
50,20,16,6,50000,85.88,10.63,1745
51,20,16,6,50000,85.88,10.524000000000001,1798
52,20,16,6,50000,85.89,10.530000000000001,1790
53,20,16,6,50000,85.85199999999999,10.530000000000001,1809
54,20,16,6,50000,85.24199999999999,10.934000000000001,1912
55,20,16,6,50000,85.80799999999999,10.491999999999999,1850
56,20,16,6,50000,85.616,10.662,1861
57,20,16,6,50000,85.48,10.658,1931
