N,L,R0,M,T,Util,Idle,Collisions
5,20,8,6,50000,87.864,11.028,554
6,20,8,6,50000,88.27000000000001,10.45,640
7,20,8,6,50000,88.214,10.414,686
8,20,8,6,50000,88.84,9.652,754
9,20,8,6,50000,88.28,10.118,801
10,20,8,6,50000,88.374,9.82,903
11,20,8,6,50000,88.176,9.834,995
12,20,8,6,50000,88.08,9.879999999999999,1020
13,20,8,6,50000,88.304,9.578000000000001,1059
14,20,8,6,50000,87.928,9.846,1113
15,20,8,6,50000,88.00200000000001,9.714,1142
16,20,8,6,50000,87.544,9.948,1254
17,20,8,6,50000,87.804,9.676,1260
18,20,8,6,50000,87.746,9.661999999999999,1296
19,20,8,6,50000,87.864,9.454,1341
20,20,8,6,50000,87.53999999999999,9.658,1401
21,20,8,6,50000,87.2,9.888,1456
22,20,8,6,50000,87.436,9.636,1464
23,20,8,6,50000,87.168,9.718,1557
24,20,8,6,50000,87.088,9.76,1576
25,20,8,6,50000,87.08,9.698,1611
26,20,8,6,50000,87.062,9.654,1642
27,20,8,6,50000,86.56,9.948,1746
28,20,8,6,50000,86.466,9.942,1796
29,20,8,6,50000,86.92,9.56,1760
30,20,8,6,50000,86.476,9.808,1858
31,20,8,6,50000,86.424,9.75,1913
32,20,8,6,50000,86.072,9.969999999999999,1979
33,20,8,6,50000,86.468,9.668000000000001,1932
34,20,8,6,50000,86.11999999999999,9.862,2009
35,20,8,6,50000,86.08,9.841999999999999,2039
36,20,8,6,50000,86.11,9.712,2089
37,20,8,6,50000,85.614,10.108,2139
38,20,8,6,50000,85.32,10.126,2277
39,20,8,6,50000,85.592,9.950000000000001,2229
40,20,8,6,50000,85.126,10.262,2306
41,20,8,6,50000,85.36,10.106,2267
42,20,8,6,50000,85.198,10.126,2338
43,20,8,6,50000,85.206,10.104000000000001,2345
44,20,8,6,50000,85.188,9.984,2414
45,20,8,6,50000,84.75,10.238,2506
46,20,8,6,50000,84.454,10.394,2576
47,20,8,6,50000,84.818,10.108,2537
48,20,8,6,50000,84.44,10.358,2601
49,20,8,6,50000,84.122,10.524000000000001,2677
50,20,8,6,50000,84.24199999999999,10.394,2682
51,20,8,6,50000,83.67,10.69,2820
52,20,8,6,50000,84.48,10.194,2663
53,20,8,6,50000,83.562,10.692,2873
54,20,8,6,50000,83.444,10.73,2913
55,20,8,6,50000,83.47,10.692,2919
56,20,8,6,50000,83.342,10.7,2979
57,20,8,6,50000,83.322,10.69,2994
58,20,8,6,50000,83.396,10.620000000000001,2992
59,20,8,6,50000,83.052,10.780000000000001,3084
60,20,8,6,50000,82.838,10.879999999999999,3141
61,20,8,6,50000,82.822,10.894,3142
62,20,8,6,50000,83.108,10.59,3151
63,20,8,6,50000,82.366,11.052,3291
64,20,8,6,50000,82.17,11.106,3362
65,20,8,6,50000,82.39999999999999,10.95,3325
66,20,8,6,50000,81.652,11.32,3514
67,20,8,6,50000,81.39999999999999,11.491999999999999,3554
68,20,8,6,50000,81.76,11.258,3491
69,20,8,6,50000,82.04599999999999,11.07,3442
70,20,8,6,50000,81.504,11.332,3582
71,20,8,6,50000,81.2,11.498,3651
72,20,8,6,50000,81.66600000000001,11.186,3574
73,20,8,6,50000,80.774,11.664,3781
74,20,8,6,50000,81.358,11.288,3677
75,20,8,6,50000,80.664,11.65,3843
76,20,8,6,50000,80.366,11.799999999999999,3917
77,20,8,6,50000,80.368,11.799999999999999,3916
78,20,8,6,50000,80.23,11.863999999999999,3953
79,20,8,6,50000,80.28,11.762,3979
80,20,8,6,50000,80.66,11.538,3901
81,20,8,6,50000,79.77,11.988,4121
82,20,8,6,50000,79.716,12.012,4136
83,20,8,6,50000,79.28399999999999,12.22,4248
84,20,8,6,50000,78.812,12.434000000000001,4377
85,20,8,6,50000,79.374,12.158,4234
86,20,8,6,50000,79.72,11.944,4168
87,20,8,6,50000,78.94,12.3,4380
88,20,8,6,50000,78.88,12.31,4405
89,20,8,6,50000,79.2,12.072,4364
90,20,8,6,50000,78.756,12.374,4435
91,20,8,6,50000,78.142,12.629999999999999,4614
92,20,8,6,50000,77.68,12.831999999999999,4744
93,20,8,6,50000,77.58800000000001,12.908,4752
94,20,8,6,50000,77.88000000000001,12.722,4699
